Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
glass and glass products 231,1976573425590.0,2074879080624.0,2965397030807.0,3097558441486.0,3212335555175.0,3301339683881.0,3321305270747.0,3335596375148.0,3358242302772.0,3388730638101.0,3440058801652.0,3499391345767.0,3564687505844.0,3626746432696.0,3685425979513.0,3740575413621.0,3790847852932.0,3837361572938.0,3880001319921.9995,3918665563478.0005,3957181431165.9995,3965275530284.0,3970006522991.0,3971346731754.0,3969281992513.0005,3963811533118.0,3916887330087.0,3902536520631.0,3851598035028.0005,3799098647817.0,3745101325440.0,3700063541878.0,3669303258059.0,3640008490851.0,3614917272104.0,3593510513004.0,3575351214195.0,3560068855750.0,3547347218683.0,3536914789050.0,3528537127490.0,3522010750054.0,3517158182274.0,3513823932158.0,3511871188902.0,3511179099196.0,3511640506555.0,3513160064387.0,3515652652632.0,3519042042488.0,3523259765035.0
cement and other nonmetallic minerals 239,10866214071136.0,12008135381788.0,17520632323867.998,18301489477177.0,18979633950665.0,19505502358221.0,19623466227131.0,19707903212503.0,19841703498740.0,20021839550647.0,20325104803865.0,20675662816661.0,21061456017704.0,21428122480403.0,21774822350278.0,22100665044476.0,22397692699133.0,22672512488109.0,22924443450988.0,23152885709607.0,23380451310229.0,23428274159301.0,23456226565975.0,23464145001423.0,23451945779290.0,23419624337439.0,23142379267100.0,23057589522783.0,22756626627053.0,22446441363162.0,22127405759490.0,21861306333923.0,21679563512518.0,21506479490404.0,21358231544629.0,21231752711761.0,21124461042423.0,21034167371597.0,20959003363779.0,20897364816923.0,20847866578945.0,20809306393483.0,20780635677550.0,20760935728521.0,20749398218958.0,20745309104026.0,20748035264676.0,20757013358939.0,20771740466880.0,20791766201329.0,20816686023270.0
iron and steel 241,11105243974624.0,12922609462572.0,20889102623646.0,22904836664872.0,24934424559755.0,26899203022212.0,28407221014443.0,29947750328783.0,31649983918869.0,33525037320672.0,35724720690854.0,38147514293500.0,40791150067404.0,43564469887418.0,46470108793369.0,49510255361058.0,52670065768137.0,55966865428826.0,59401975725241.0,62976420484466.0,66756950457115.99,70219001875029.0,73797773180525.0,77492665298613.0,81302799720514.0,85227019183529.0,88404859152708.0,92459765673337.0,95789415679728.0,99180865381094.0,102631730094129.0,105505816746181.0,107044881076482.0,109387796477388.0,111629807376837.0,113783374294436.0,115858987225098.0,117865540351700.0,119810624384626.0,121700756907634.0,123541565543961.0,125337934844499.98,127094125012926.98,128813868572404.02,130500449611609.02,132156769166004.0,133785399484168.0,135388629322974.02,136968501955465.02,138526847223533.0,140065308696282.0
other metals 242,3770733855452.0,4387811840302.0005,7092797479549.0,7777230582523.0,8466367696964.999,9133499070556.0,9645539554396.0,10168619106199.0,10746604591496.0,11383270238745.0,12130162479399.0,12952810760081.0,13850444971172.0,14792112795960.0,15778708949941.002,16810976553833.0,17883875456911.0,19003288422858.0,20169664120816.0,21383350186503.0,22667011526317.0,23842534956569.0,25057690080886.0,26312273486145.0,27605986878783.0,28938437315642.0,30017458072536.0,31394282690973.996,32524849838765.0,33676400785075.996,34848125821803.0,35554228171329.0,36502284148444.0,37372818608444.0,38203939147916.0,39000512922661.0,39766637389379.0,40505786670754.0,41220925745069.0,41914600420736.0,42589008882093.0,43246059064843.0,43887415030812.0,44514534726566.0,45128700937396.0,45731046825641.0,46322577127460.0,46904185845402.0,47476671094518.0,48040747622334.0,48597057417080.0
metal products except machinery and vehicles 25,5108738713347.0,5578317181567.0,8368662372424.0,8938049041712.0,9479475025915.0,9965188700451.0,10257214776303.0,10541793795164.0,10863507202585.0,11223034793431.0,11666864547576.0,12156181637978.0,12686603974273.0,13227103066945.0,13777318822789.0,14336798613862.0,14900319023615.0,15472034844756.0,16051420480498.0,16637932480350.0,17248073516090.0,17747475672099.0,18250689942553.0,18757202871517.0,19266499859489.0,19778067334464.0,20096120683485.0,20593947656814.0,20911108248493.0,21226718474896.0,21540484404694.0,21851961707507.0,22202184100214.0,22521883740232.0,22832276688411.0,23134512211774.0,23429557830587.0,23718233879107.0,24001240468838.0,24279178733951.0,24552567725174.0,24821857957692.0,25087442361476.0,25349665197111.0,25608829364874.0,25865202435018.0,26119021652903.0,26370498116694.0,26619820282924.0,26867156922800.0,27112659627093.0
computers and electronics 26,1920186.181,2062893.021,3031048.155,3212057.84,3379392.324,3523398.632,3596120.403,3663977.373,3742356.688,3831105.043,3945542.604,4071807.565,4207945.011,4343298.169,4477586.719,4610505.964,4740240.623,4868000.523,4993483.598,5116392.047,5241618.852,5328521.293,5412257.069,5492611.258,5569380.254,5642372.761,5656446.93,5717464.465,5724681.313,5728551.075,5729037.323,5736066.795,5759164.863,5779321.006,5801451.381,5825312.192,5850698.201,5877435.388,5905375.239,5934390.235,5964370.271,5995219.777,6026855.402,6059204.117,6092201.669,6125791.296,6159922.674,6194551.02,6229636.359,6265142.887,6301038.449
appliances and electrical equipment 27,7899434059801.999,8486514253876.0,12469397641168.0,13214051513113.0,13902447113069.0,14494873174644.0,14794042517036.0,15073198603745.0,15395642456887.0,15760743395815.0,16231526890299.002,16750967010054.998,17311021438435.0,17867849395515.0,18420297670176.0,18967112776513.0,19500826848284.0,20026416979905.0,20542640504756.0,21048272301337.0,21563441556858.0,21920948612231.0,22265428354116.0,22595996618095.0,22911815799503.0,23212098915376.0,23269998496036.0,23521017899599.0,23550707217542.0,23566626990894.0,23568627361584.0,23597545833077.0,23692568737675.0,23775488886367.0,23866530805194.0,23964691551032.0,24069126787638.0,24179120625159.0,24294062089814.0,24413426583427.0,24536761140458.0,24663672605010.0,24793818074690.0,24926897119938.0,25062645405535.0,25200829428092.0,25341242148166.0,25483699344469.0,25628036554626.0,25774106495266.0,25921776876051.0
other machinery 28,4887242460972.0,5207560859733.0,7576314644098.999,7990419199188.001,8366545214942.0,8681424089303.0,8818309830851.0,8941824600284.0,9089522500083.0,9260677683021.0,9491799448870.0,9748829062605.0,10026721346603.0,10299887870461.0,10567715206059.0,10829544876558.0,11081200274700.0,11325623150371.0,11562199686226.0,11790338441236.0,12021364954717.0,12162453844414.0,12294739649792.0,12417851653861.0,12531452768454.0,12635241035303.0,12606453839639.0,12681785859493.0,12637356333046.0,12585716173006.0,12526890291713.0,12487534263288.0,12487473807999.0,12484717071978.0,12489489031547.0,12500859981317.0,12518047240857.0,12540387196609.0,12567313489816.0,12598339829945.0,12633046328271.0,12671068538250.0,12712088597190.0,12755828013742.0,12802041755191.0,12850513369223.0,12901050934998.0,12953483683586.0,13007659162119.0,13063440842271.0,13120706093918.0
road vehicles 29,5424328437395.0,5701321087801.0,8160447808721.999,8531508089356.001,8855281212484.0,9108499103774.0,9171503941569.0,9218927728576.0,9289537665028.0,9381975099093.0,9532311977000.0,9705100784805.0,9894734717645.0,10075695601140.0,10247565282557.0,10409900308858.0,10558924013387.0,10697719033963.0,10825936944907.0,10943266486038.0,11060376021509.0,11092577056119.0,11115409304522.0,11128770852402.0,11132597376285.0,11126861965422.0,11004642473226.0,10973798691337.0,10839921179785.0,10701407287638.0,10558422820575.0,10439900413701.0,10360987537414.0,10285629354511.0,10221626088884.0,10167575541748.0,10122297260073.0,10084790369671.0,10054200677845.0,10029794752257.0,10010939309004.0,9997084683102.0,9987751468185.0,9982519638476.0,9981019631122.0,9982924988759.0,9987946252845.0,9995825866536.0,10006333897608.0,10019264431528.0,10034432515288.0
nonroad vehicles 30,4580190942074.0,4814077817298.0,6890513649414.0,7203829289486.0,7477216630049.0,7691028589527.999,7744228573767.0,7784272240407.001,7843893812937.0,7921946073802.001,8048887429657.0,8194786731576.999,8354909709293.0,8507709343205.0,8652832553779.0,8789904898424.999,8915737437792.0,9032933087610.0,9141197644430.0,9240268286580.0,9339153160493.0,9366343049296.0,9385622128454.0,9396904343622.0,9400135381386.0,9395292518867.0,9292092902995.0,9266049050367.0,9153005643643.0,9036047372866.0,8915314240929.0,8815236367574.0,8748603964068.999,8684973070268.0,8630930034181.001,8585290868104.999,8547058821872.001,8515388777983.0,8489559473758.001,8468951614074.999,8453030467081.0,8441331907011.0,8433451133028.999,8429033484038.0,8427766908798.0,8429375753447.999,8433615605174.0,8440268988292.0,8449141752781.0,8460060028659.999,8472867645427.0
other manufacturing 31T33,14789331224766.0,15553724633450.0,22278031638872.0,23300294101710.0,24194181351721.0,24895942938896.0,25078162394150.0,25217914312171.0,25421236046520.0,25684484656458.0,26106524152187.0,26590425629948.0,27120896206281.0,27628020591955.0,28110623996957.0,28567460258883.0,28988130256217.0,29381056920481.0,29745249602217.0,30079818148475.0,30414062915422.0,30515010878171.0,30590267258051.0,30639520149170.004,30662560623996.0,30659282451934.996,30334916443557.0,30262280000169.996,29905342618250.0,29535325711380.0,29152670612815.0,28836511029158.0,28628873444320.0,28430293461030.0,28262414428523.0,28121445140326.0,28004193936869.0,27907954696357.0,27830417888267.0,27769600488896.0,27723790251699.0,27691501015460.0,27671436581283.0,27662461301023.0,27663575966088.0,27673897914697.0,27692644520942.0,27719119413393.0,27752700910912.0,27792832270390.0,27839013423611.0
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water and waste 36T39,50457432276918.0,53262803275211.0,75308851281626.0,80059883127930.0,84038912473933.0,87293156792636.0,87965200099253.0,88378152797712.0,88908817272369.0,89547765612243.0,90640128402196.0,91427529710434.0,92265490750078.0,92916654494473.0,93382957722403.0,93666686579234.0,93830771621711.0,93820888722748.0,93641120672202.0,93296238472373.0,92883530764472.0,91950734856019.0,90899197317965.0,89734927300727.0,88464240274189.0,87093714512356.0,85078417763828.0,83759421640919.0,81648291204788.0,79510418184837.0,77351481152176.0,75467563947346.0,73951040767801.0,72529900177750.0,71251553243887.0,70098366628485.0,69055495555485.0,68110353540900.0,67252198692418.0,66471807738518.0,65761216823417.0,65113513640222.01,64522669418658.01,63983402128476.01,63491064335486.01,63041550678144.99,62631221073263.0,62256836617152.0,61915505799281.0,61604639143363.0,61321910774552.01
construction 41T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
