Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
rubber and plastic products 22,46933474714847.66,47594086219415.375,48804125282424.03,49001031722999.1,49392785104446.516,49790362189019.31,50579971824134.44,51383855854174.38,52202314395370.12,53035654905120.73,53884192402598.5,54999066926298.016,56138772087444.41,57303910124456.055,58495099288569.76,59712974292187.945,60899916366208.55,62112463726398.33,63351222913788.875,64616816323316.37,65909882676946.09,67052485223474.24,68217173007902.12,69404423855610.375,70614727094576.61,71848583851236.92,72872496092455.73,73913196127295.27,74971000005248.7,76046230502614.58,77139217271168.6,78232204039722.5,79325190808276.5,80418177576830.5,81511164345384.5,82604151113938.5,83697137882492.5,84790124651046.75,85883111419600.75,86976098188154.75,88069084956708.75,89162071725262.5,90255058493816.5,91348045262370.5,92441032030924.5,93534018799479.0,94627005568033.0,95719992336587.0,96812979105141.0,97905965873695.0,98998952642249.0
glass and glass products 231,1550.7093205768,1610.0622452438,1696.1623823806,1734.1186106589,1779.9170829556,1827.0238740902,1889.9059879951,1955.0190324433,2022.445084056,2092.2693695405,2164.5803930845,2249.7297155464,2338.3020655065,2430.4385337246,2526.2861938015,2625.998363196,2727.1255011659,2832.2387825141,2941.4995960557,3055.0760653933,3173.1433403103,3287.1287322477,3405.3223768643,3527.8844232148,3654.9813182127,3786.786062561,3910.9195659955,4039.2422633727,4171.9001385194,4309.0444410874,4450.8318829087,4592.61932473,4734.4067665512,4876.1942083725,5017.9816501937,5159.769092015,5301.5565338363,5443.3439756575,5585.1314174788,5726.9188593001,5868.7063011213,6010.4937429426,6152.2811847639,6294.0686265851,6435.8560684064,6577.6435102277,6719.4309520489,6861.2183938702,7003.0058356915,7144.7932775127,7286.580719334
cement and other nonmetallic minerals 239,2008225639649.6016,2195039073971.9685,2360756317102.6133,2413584635082.0894,2477327961730.0747,2542892235472.1553,2630412952342.1226,2721038727682.7188,2814883797550.7686,2912066782362.2876,3012710864203.107,3131223574417.084,3254500530008.7554,3382738104217.948,3516140997335.1104,3654922599990.1187,3795673587202.788,3941972576929.1074,4094044193691.4404,4252122435638.1597,4416451080111.618,4575098469576.737,4739602998192.963,4910187564956.398,5087083834362.763,5270532592616.472,5443304348104.678,5621906716373.098,5806542880940.345,5997423354416.899,6194766251796.555,6392109149176.1875,6589452046555.875,6786794943935.5,6984137841315.1875,7181480738694.8125,7378823636074.5,7576166533454.125,7773509430833.813,7970852328213.438,8168195225593.125,8365538122972.75,8562881020352.438,8760223917732.0625,8957566815111.75,9154909712491.375,9352252609871.062,9549595507250.688,9746938404630.375,9944281302010.0,10141624199389.688
iron and steel 241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other metals 242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal products except machinery and vehicles 25,72444752938.00146,83053999157.40039,98535993745.18292,105596369024.13956,113614266974.96465,122253081323.84157,132573663640.51648,143776496604.96994,155937766282.24738,169140297453.84735,183474137240.00107,199949036216.88812,217918001422.71225,237517631166.45337,258897103416.0515,282219342255.0793,307368196450.39703,334779233553.62885,364657555076.76013,397226992774.7561,432731831279.45074,470186363014.51196,510913144012.04333,555200332263.6643,603361646426.9636,655738649115.6456,710421898530.4728,769705255061.9589,833978561066.9795,903664921484.5693,979223560554.757,1054782199624.9375,1130340838695.125,1205899477765.3125,1281458116835.5,1357016755905.6875,1432575394975.875,1508134034046.0625,1583692673116.25,1659251312186.4375,1734809951256.625,1810368590326.8125,1885927229397.0,1961485868467.1877,2037044507537.3752,2112603146607.5625,2188161785677.75,2263720424747.9375,2339279063818.125,2414837702888.3125,2490396341958.5
computers and electronics 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,464838539417.31934,493932864817.3359,534956856151.2902,554860731773.4758,577775101929.6097,601668305415.9727,631403483292.8878,662630805917.5072,695426492372.6019,729870735474.3354,766047914028.9786,807730382828.8132,851707650179.0549,898107736359.8698,947065910129.6901,998725105632.9984,1052229566850.6593,1108636319815.198,1168105020248.1704,1230804245313.3577,1296912001193.8025,1362985987740.0657,1432474076283.361,1505555425341.6494,1582418753950.6702,1663262860900.4084,1742700937235.2856,1825987258985.6912,1913311164840.8076,2004871466920.4292,2100876933076.0667,2196882399231.6875,2292887865387.3438,2388893331542.9688,2484898797698.5938,2580904263854.25,2676909730009.875,2772915196165.5312,2868920662321.1562,2964926128476.7812,3060931594632.4375,3156937060788.0625,3252942526943.7188,3348947993099.3438,3444953459254.9688,3540958925410.625,3636964391566.25,3732969857721.9062,3828975323877.531,3924980790033.1567,4020986256188.8125
other machinery 28,3644667967236.9277,3841146467911.475,4119260152375.028,4252119817740.8335,4406580095375.262,4566901255420.155,4769725647953.728,4981731107383.955,5203342558451.5205,5435005102347.0205,5677185004509.203,5957539439621.713,6251939033472.7,6561098922982.063,6885771325358.2,7226747497653.649,7577609375450.68,7945768162262.195,8332091388031.041,8737490939489.574,9162925379204.34,9583876021889.338,10024506179342.006,10485753625507.758,10968601754582.793,11474081848414.354,11964853412357.236,12476994417324.9,13011453636956.498,13569222862056.855,14151338893086.709,14733454924116.5,15315570955146.5,15897686986176.25,16479803017205.998,17061919048235.998,17644035079265.75,18226151110295.75,18808267141325.5,19390383172355.5,19972499203385.25,20554615234415.0,21136731265445.0,21718847296474.75,22300963327504.75,22883079358534.5,23465195389564.25,24047311420594.25,24629427451624.0,25211543482654.0,25793659513683.75
road vehicles 29,2328824179.4581604,2421021539.3163815,2554299680.637505,2613715876.1174855,2685063140.4034686,2758507116.518517,2855914767.6390643,2956862882.243412,3061484666.690941,3169918544.7697477,3282308372.446431,3414374543.6671076,3551866083.618675,3695011265.50359,3844048231.2583046,3999225430.0373673,4156824733.666789,4320774580.059576,4491337505.576033,4668787218.204843,4853409089.609801,5032097827.672517,5217539553.159286,5409996964.57156,5609743304.792748,5817062797.877866,6012942088.8559675,6215601940.988995,6425284333.046254,6642240167.470691,6866729610.110193,7091219052.749756,7315708495.389221,7540197938.028748,7764687380.668274,7989176823.307739,8213666265.947266,8438155708.586731,8662645151.226257,8887134593.865784,9111624036.505249,9336113479.144775,9560602921.784302,9785092364.423767,10009581807.063293,10234071249.702759,10458560692.342285,10683050134.981812,10907539577.621277,11132029020.260803,11356518462.900269
nonroad vehicles 30,3415683863387.921,3550909629717.7227,3746388533049.491,3833534201629.7993,3938179155709.249,4045899354722.977,4188767049518.3755,4336827538212.6025,4490276194426.495,4649316044177.853,4814158080854.709,5007859388972.719,5209518079442.941,5419468960320.427,5638061314121.531,5865659540948.041,6096810266295.387,6337275325731.113,6587439781046.222,6847705079446.753,7118489775238.218,7380572350880.312,7652559525752.107,7934836599456.864,8227804337031.215,8531879609584.148,8819175550285.621,9116416532577.562,9423957466454.846,9742166350254.666,10071424768940.055,10400683187625.375,10729941606310.75,11059200024996.25,11388458443681.625,11717716862367.0,12046975281052.375,12376233699737.75,12705492118423.125,13034750537108.5,13364008955793.875,13693267374479.25,14022525793164.75,14351784211850.125,14681042630535.5,15010301049220.875,15339559467906.248,15668817886591.623,15998076305276.998,16327334723962.377,16656593142647.752
other manufacturing 31T33,60084379180.91291,62697160709.83349,66447174810.363884,68159297597.21245,70192276184.61588,72290820090.13332,75029961988.62488,77876680059.73651,80835384045.49132,83910673577.9036,87107346835.8035,90844696926.62193,94746862162.62082,98821347731.31174,103076013308.94937,107519090461.16623,112051987080.11966,116781745099.11163,121717214932.67181,126867660770.98393,132242780805.75002,137486537214.28912,142945599639.23648,148629165923.65585,154546844388.55573,160708673004.13425,166590178025.8002,172695449974.1421,179033388124.7261,185613263380.54718,192444734586.95816,199276205793.3672,206107676999.7793,212939148206.18945,219770619412.60156,226602090619.01172,233433561825.42188,240265033031.83398,247096504238.24414,253927975444.65628,260759446651.06638,267590917857.47656,274422389063.88867,281253860270.2988,288085331476.71094,294916802683.1211,301748273889.5332,308579745095.94336,315411216302.3535,322242687508.7656,329074158715.1758
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water and waste 36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction 41T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
