Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
rubber and plastic products 22,91011983071.3584,95214418858.10547,101655722418.7171,104131611064.58435,107178029370.06573,110413560117.81851,114727422243.93466,119319008510.1918,124209638091.58197,129422349000.64116,134982039309.029,141561194461.5311,148603818575.4413,156147655431.7156,164233668309.9511,172906319454.76126,182039694390.1919,191841364947.47366,202366105537.45236,213673341597.94992,225827550411.45892,238264087537.07104,251620451642.84775,265970757396.16345,281395246136.2114,297980798321.17426,314810556150.9463,332876251419.5294,352274444043.5469,373109373119.1996,395493573297.4652,417877773475.7344,440261973654.0,462646173832.2656,485030374010.5313,507414574188.7969,529798774367.0625,552182974545.3281,574567174723.5938,596951374901.8594,619335575080.125,641719775258.3906,664103975436.6562,686488175614.9219,708872375793.1875,731256575971.4531,753640776149.7188,776024976327.9844,798409176506.25,820793376684.5156,843177576862.7812
glass and glass products 231,18022986421.520508,18712810711.06006,19713502189.41649,20154645205.579113,20686934031.97437,21234428682.141525,21965270671.692127,22722041460.63448,23505694977.47873,24317221762.338596,25157650447.56429,26147291163.698982,27176715724.105816,28247563944.069942,29361545173.935844,30520441332.75158,31695782842.791435,32917452963.24625,34187327421.814556,35507360220.684875,36879587023.2323,38204372490.037384,39578068013.608,41002534912.6308,42479707702.121376,44011597067.949135,45454328092.49904,46945747665.28056,48487552470.8308,50081500395.28886,51729412808.516754,53377325221.74463,55025237634.97266,56673150048.20068,58321062461.42822,59968974874.65624,61616887287.88427,63264799701.11231,64912712114.33984,66560624527.56786,68208536940.79589,69856449354.02393,71504361767.25146,73152274180.47949,74800186593.70752,76448099006.93506,78096011420.16309,79743923833.39111,81391836246.61914,83039748659.84668,84687661073.0747
cement and other nonmetallic minerals 239,529528587060.0937,578787520900.7188,622483814720.4614,636413576408.6523,653221405682.4116,670509381968.9423,693586829357.1384,717483018022.324,742228069708.0771,767853262225.0419,794391076204.1658,825640487002.0579,858146133191.754,891959794434.9476,927135446068.5876,963729354896.8124,1000842550702.3606,1039418642844.8816,1079516860279.329,1121198903596.7295,1164529051964.2766,1206361168000.2483,1249737693467.9417,1294717402335.8457,1341361379857.862,1389733116498.4531,1435289542908.5474,1482383384281.5034,1531068216012.139,1581399546028.9375,1633434886855.4915,1685470227682.0469,1737505568508.6094,1789540909335.1562,1841576250161.7188,1893611590988.2656,1945646931814.8281,1997682272641.375,2049717613467.9377,2101752954294.4844,2153788295121.0312,2205823635947.5938,2257858976774.1406,2309894317600.703,2361929658427.25,2413964999253.8125,2466000340080.3594,2518035680906.922,2570071021733.4688,2622106362560.0312,2674141703386.578
iron and steel 241,22018815768.200195,25342444394.25293,30196233204.272045,32406706647.362823,34916172068.06632,37621995857.82713,40851552419.094795,44359854065.51499,48171105372.438095,52311626838.281845,56810041247.754814,61980130193.920975,67622855829.58607,73781637858.39445,80503906147.25708,87841473219.80872,95759316898.95715,104394239630.08392,113811518589.93529,124082406566.2506,135284682334.27094,147111425187.30466,159977416010.90555,173974480915.45642,189202607413.18033,205770674312.88654,223080880495.1703,241854472370.6641,262215814179.4953,284299898292.04004,308253258835.7219,332206619379.40625,356159979923.08594,380113340466.7656,404066701010.4531,428020061554.1328,451973422097.8125,475926782641.49994,499880143185.1797,523833503728.8594,547786864272.539,571740224816.2266,595693585359.9062,619646945903.5859,643600306447.2656,667553666990.9531,691507027534.6328,715460388078.3125,739413748622.0,763367109165.6797,787320469709.3594
other metals 242,512919762841.96875,590342401034.5,703409526511.5679,754901646984.0945,813358669468.7556,876389783909.5502,951621049883.5531,1033345574372.2253,1122127193559.088,1218579033233.8484,1323367850051.3225,1443803064372.3906,1575248166838.2278,1718714602584.232,1875307231941.8438,2046233007528.9866,2230676101330.3174,2431823273187.0557,2651195129582.6816,2890451476538.274,3151404140419.5576,3426903522549.4307,3726611782586.6763,4052667974114.1963,4407401267401.479,4793347952019.268,5196582483032.7295,5633906015498.836,6108215566097.479,6622655729675.532,7180639961828.318,7738624193981.0,8296608426134.001,8854592658286.75,9412576890439.5,9970561122592.25,10528545354745.0,11086529586897.75,11644513819050.5,12202498051203.5,12760482283356.25,13318466515509.0,13876450747661.75,14434434979814.5,14992419211967.25,15550403444120.002,16108387676273.0,16666371908425.75,17224356140578.502,17782340372731.25,18340324604884.0
metal products except machinery and vehicles 25,122092819364.45703,134399973724.52734,152154818007.46307,160422601626.43875,169856139999.8498,179906465414.23785,192083557134.86765,205151519990.65262,219179759439.74884,234243347385.35385,250423500725.28503,269035006058.98337,289121992202.77295,310807665275.02673,334225928482.1564,359522337525.3219,386485345275.83374,415600575870.0732,447048366607.15753,481024714510.12006,517742671822.00977,555953103818.0728,597164630676.079,641624162738.2222,689599606987.2032,741381694775.5183,794733888093.1334,852168998142.0242,914013481086.4352,980620692108.0656,1052373148229.8103,1124125604351.5312,1195878060473.2812,1267630516595.0312,1339382972716.7812,1411135428838.5312,1482887884960.2812,1554640341082.0,1626392797203.75,1698145253325.5,1769897709447.25,1841650165569.0,1913402621690.7498,1985155077812.4685,2056907533934.2188,2128659990055.9685,2200412446177.7188,2272164902299.4688,2343917358421.2188,2415669814542.9375,2487422270664.6875
computers and electronics 26,7476888.853374839,7944868.633090496,8604736.087089157,8924888.254258912,9293463.973082194,9677784.14378607,10156071.981751729,10658360.842622494,11185876.703941239,11739909.46041859,12321816.338064386,12992275.346780164,13699645.997383015,14445987.48532385,15233475.597217523,16064409.416769506,16925024.180307865,17832322.06276032,18788871.11299472,19797382.880527545,20860720.579857957,21923515.102285165,23041225.16850076,24216732.52821421,25453072.71126027,26753443.37947389,28031198.163374346,29370851.651475374,30775449.34068528,32248189.10724785,33792428.96451514,35336668.82178211,36880908.67904949,38425148.53631687,39969388.39358425,41513628.25085163,43057868.108118534,44602107.965385914,46146347.82265329,47690587.67992067,49234827.53718805,50779067.39445543,52323307.251722336,53867547.108989716,55411786.966257095,56956026.823524475,58500266.68079186,60044506.53805875,61588746.39532613,63132986.252593525,64677226.109860905
appliances and electrical equipment 27,75270523180.14648,79981718377.4668,86624664322.77411,89847665438.9734,93558150873.67458,97427137143.88058,102242104505.35564,107298692357.16476,112609242727.23817,118186741103.47328,124044850804.10825,130794422898.40256,137915587863.84457,145429075809.16806,153356790577.006,161721877253.06708,170385764703.90848,179519615377.8569,189149282057.48355,199302062159.49966,210006779925.85327,220706029480.69745,231958118831.97754,243792058817.29736,256238408392.83102,269329358712.41156,282192632858.4103,295679046914.70026,309819260176.896,324645465957.3037,340191469683.1286,355737473408.9531,371283477134.77734,386829480860.60156,402375484586.4258,417921488312.25,433467492038.0742,449013495763.90234,464559499489.72656,480105503215.55084,495651506941.375,511197510667.1992,526743514393.0234,542289518118.85156,557835521844.6758,573381525570.5,588927529296.3242,604473533022.1484,620019536747.9727,635565540473.8008,651111544199.625
other machinery 28,171708185457.57422,180079217169.74023,191997253376.62735,197583383186.56946,204136671897.28915,210921439706.49478,219622864461.1484,228694005181.05515,238151081233.3577,248011048480.8501,258291634051.73105,270243790072.7378,282761524639.413,295872243197.5589,309604712844.21356,323989131689.62994,338733094424.7575,354164001148.87885,370314665477.05566,387219510167.4792,404914648338.0304,422313150468.5757,440479513296.43256,459448572099.8767,479256787634.425,499942324115.5624,519875684113.27057,540626665034.0288,562229786025.6375,584721066739.1302,608138094411.4011,631555122083.6719,654972149755.9453,678389177428.2109,701806205100.4844,725223232772.7578,748640260445.0234,772057288117.2969,795474315789.5703,818891343461.8359,842308371134.1094,865725398806.3828,889142426478.6484,912559454150.9219,935976481823.1953,959393509495.4609,982810537167.7344,1006227564840.0078,1029644592512.2734,1053061620184.5469,1076478647856.8203
road vehicles 29,83972665763.78418,87297115136.97656,92102853978.7049,94245281203.5703,96817918515.52109,99466158993.72977,102978480878.10837,106618464678.48582,110390913545.39302,114300818759.23402,118353367473.727,123115405137.38475,128073070568.52393,133234594834.78029,138608564850.2759,144203939186.46393,149886649699.78296,155798347875.45557,161948500240.9377,168346976149.89426,175004065524.40417,181447218171.75598,188133869817.81653,195073492836.52213,202275939810.7867,209751459282.24994,216814468321.93533,224121970613.01175,231682691417.9939,239505677768.92786,247600310717.41043,255694943665.89258,263789576614.375,271884209562.8574,279978842511.3418,288073475459.8242,296168108408.30664,304262741356.78906,312357374305.2715,320452007253.7539,328546640202.2363,336641273150.71875,344735906099.2012,352830539047.6836,360925171996.16797,369019804944.6504,377114437893.1328,385209070841.61523,393303703790.09766,401398336738.5801,409492969687.0625
nonroad vehicles 30,940805364074.3994,952941753270.959,965234701888.1544,985601154097.9943,993091722869.1392,1029263193852.9271,1065434664836.715,1101606135820.5027,1137777606804.3022,1173949077788.09,1210120548771.878,1246292019755.6658,1282463490739.4536,1318634961723.2415,1354806432707.041,1390977903690.8289,1427149374674.6167,1463320845658.4045,1499492316642.1924,1535663787625.9802,1571835258609.7798,1608006729593.5676,1644178200577.3555,1680349671561.1436,1716521142544.9316,1752692613528.7195,1788864084512.519,1825035555496.307,1861207026480.0947,1897378497463.8826,1933549968447.6704,1969721439431.4534,2005892910415.25,2042064381399.0312,2078235852382.8281,2114407323366.6094,2150578794350.3906,2186750265334.1877,2222921736317.9688,2259093207301.7656,2295264678285.547,2331436149269.328,2367607620253.125,2403779091236.9062,2439950562220.703,2476122033204.4844,2512293504188.2812,2548464975172.0625,2584636446155.8438,2620807917139.6406,2656979388123.422
other manufacturing 31T33,127237706518.96484,133128130343.78711,141570267003.98285,145451753996.86603,150036802527.11182,154782795592.90536,160924405733.88956,167324297510.2905,173994039036.26562,180945750678.86984,188192133130.88507,196643267110.92722,205491860813.5455,214757558071.79187,224461023891.404,234624000125.17606,245034909424.98593,255931097594.59192,267336396510.88113,279275871216.93365,291775887064.442,304054341047.5943,316879558842.28754,330277344547.0104,344274790417.9866,358900344537.12024,372986133245.237,387661155246.63184,402951694354.5915,418885279727.51385,435490748067.72125,452096216407.9258,468701684748.1328,485307153088.33984,501912621428.5508,518518089768.7578,535123558108.9648,551729026449.1719,568334494789.3789,584939963129.5859,601545431469.793,618150899810.0,634756368150.207,651361836490.4141,667967304830.625,684572773170.832,701178241511.0391,717783709851.2461,734389178191.4531,750994646531.6602,767600114871.8672
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water and waste 36T39,299600993008.27075,312805623200.6164,326010253392.9671,339214883585.3178,352419513777.66345,365624143970.01416,378828774162.36487,392033404354.7156,405238034547.0612,418442664739.4119,431647294931.7626,444851925124.1133,458056555316.459,471261185508.8097,484465815701.16034,497670445893.50604,510875076085.85675,524079706278.2074,537284336470.5581,550488966662.9038,563693596855.2544,576898227047.6051,590102857239.9558,603307487432.3015,616512117624.6521,629716747817.0028,642921378009.3535,656126008201.6992,669330638394.0499,682535268586.4005,695739898778.7462,708944528971.0938,722149159163.4375,735353789355.7812,748558419548.1289,761763049740.4766,774967679932.8203,788172310125.1641,801376940317.5117,814581570509.8594,827786200702.2031,840990830894.5469,854195461086.8945,867400091279.2422,880604721471.5859,893809351663.9297,907013981856.2773,920218612048.625,933423242240.9688,946627872433.3126,959832502625.6602
construction 41T43,4254076928000.0,4435726012825.6,4694772411974.614,4847821992604.986,4882241528752.482,5067281208448.787,5252320888145.092,5437360567841.396,5622400247537.75,5807439927234.055,5992479606930.358,6177519286626.663,6362558966323.018,6547598646019.321,6732638325715.626,6917678005411.93,7102717685108.233,7287757364804.588,7472797044500.893,7657836724197.196,7842876403893.5,8027916083589.805,8212955763286.157,8397995442982.462,8583035122678.767,8768074802375.07,8953114482071.424,9138154161767.729,9323193841464.031,9508233521160.334,9693273200856.637,9878312880553.0,10063352560249.25,10248392239945.562,10433431919641.875,10618471599338.188,10803511279034.5,10988550958730.812,11173590638427.062,11358630318123.375,11543669997819.688,11728709677516.0,11913749357212.312,12098789036908.625,12283828716604.938,12468868396301.188,12653908075997.5,12838947755693.812,13023987435390.125,13209027115086.438,13394066794782.75
