Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
rubber and plastic products 22,17631985494.0,20523353087.0,19505039664.0,32070973057.0,41127904252.0,50944527761.0,61124990645.0,72806880770.0,85534307259.0,98764206519.0,113737380311.0,131261948064,150168585425.0,170546109882.0,192490920837.0,216107268647.0,242423724414.0,271699402647.0,303040945884.0,336593197755.0,373609353016.0,413759456501.0,456597474915.0,503463761222.0,553446547976.0,607955400277.0,666309820818.0,729654425002,797053481343,871357418658,950384381809,1027085671429,1105820635614,1185320397435,1265511544419,1346329768539,1427718497271,1509627764439,1592013273230,1674835614292,1758059609757,1841653760159,1925589775884,2009842178469,2094387959884,2179206290195,2264278265783,2349586691698,2435115892868,2520851549804,2606780555160
glass and glass products 231,12200776754.0,14091672038.0,13211634206.0,21678748807.0,27720893069.0,34209429342.0,40857072272.0,48399120058.0,56497989057.0,64762859246.0,73971676869.0,84593198612,95808898989.0,107619884550.0,120026577855.0,133028607157.0,147180941685.0,162539625076.0,178468307328.0,194962905054.0,212643516373.0,231193136625.0,250243370132.99997,270404613601.0,291044216513.0,312765940524.0,335059836130.0,358346535265,381999280751,407209596985,432746553063,456678822023,481057055770,505351088237,529569001855,553717876690,577803941159,601832696348,625809019164,649737248426,673621257082,697464513102,721270131063,745040916047,768779401150,792487879667,816168432813,839822953688,863453168055,887060652436,910646849898
cement and other nonmetallic minerals 239,28798418362.0,35015566902.0,33515007404.0,54994213087.0,70321802886.0,86781790940.0,103645397559.0,122777912388.0,143322960051.0,164289116187.0,187649859151.0,214594321454,243046084143.99997,273007954292.99997,304481003839.0,337464289747.0,373365646770.0,412327245275.0,452734805407.0,494577968507.00006,539429786987.0,586486089817.0,634812338266.0,685956974393.0,738315103115.0,793418334835.0,849973039924.0,909046269000,969048077082,1033001099246,1097782734788,1158493632384,1220335844466,1281964456437,1343399971645,1404660350660,1465761393607,1526717055524,1587539708056,1648240357828,1708828829658,1769313921023,1829703532920,1890004781222,1950224091835,2010367282346,2070439632340,2130445944191,2190390595784,2250277586406,2310110576804
iron and steel 241,9694682030.0,12412260780.0,13162076564.0,22671112931.0,30431026326.999996,39420848414.0,49421751786.0,61455267484.99999,75305273943.0,90612721008.0,108642406415.0,130418774361,155053392312.0,182826312483.0,214039711527.0,249019141844.0,289207812510.0,335265180982.0,386421300794.0,443121371216.0,507333580198.99994,579011455202.0,657878288812.0,746221617643.0,843108480427.0,951074839112.0,1069518659641.0,1200715063607,1343600168523,1503475184564,1677191419641,1848592698645,2025156857775,2204488569098,2386322176906,2570424971516,2756592235493,2944643157600,3134417442181,3325772479698,3518580972967,3712728935732,3908113997149,4104643959004,4302235562767,4500813431731,4700309159889,4900660524346,5101810802154,5303708175769,5506305213997
other metals 242,1518349594.0,1943967947.0,2061401657.9999998,3550676032.0,4766008451.0,6173965171.0,7740274156.999999,9624924280.0,11794067283.0,14191469897.0,17015220633.999998,20425764614,24283958422.0,28633662925.0,33522204048.0,39000568750.0,45294787747.0,52508143124.0,60520048365.0,69400229134.0,79456936633.0,90682892482.0,103034759666.0,116870804735.0,132044910328.0,148954250564.0,167504536824.0,188052091260,210430292054,235469397516,262676269722,289520581032,317173485848,345259835696,373738024440,402571605847,431728517738,461180442043,490902273779,520871677902,551068717542,581475540542,612076113912,642855997868,673802152729,704902773242,736147145878,767525525491,799029028317,830649538861,862379628602
metal products except machinery and vehicles 25,61811035375.0,73148935332.0,70615008074.0,117620571880.0,152676985296.0,191266295829.0,231897140593.0,278875738509.0,330492248112.0,384609098055.0,445999967459.0,517835186313,595470143952.0,679135376300.0,769064895218.0,865495431903.0,972340407478.0,1090401152346.9999,1215800029672.0,1348780203718.0,1493977673772.0,1649623205347.0,1813451063693.0,1990246574490.0002,2175794611469.9998,2374989289839.0,2584434609420.0,2807796472208,3040626284161,3292881033920,3555242737882,3807166746177,4065169833663,4324656903748,4585485509814,4847530871155,5110683216718,5374845594141,5639932051670,5905866120981,6172579544355,6440011201491,6708106200361,6976815103580,7246093267290,7515900273923,7786199443659,8056957412105,8328143763985,8599730714337,8871692830191
computers and electronics 26,129870785799.0,153511191172.0,147965385015.0,246315454424.00003,319535066955.0,400046982229.0,484714790867.00006,582519349216.0,689858056255.0,802244272177.0,929608176425.0,1078509011351,1239218936564.0,1412175179765.0,1597818100191.0,1796589334084.0,2016551003302.0,2259283588410.0,2516671082735.0,2789145703772.0,3086208197806.0,3404096575863.0,3738035110119.0,4097781086490.0,4474530682468.0,4878225033707.0,5301742240141.0,5752456031236,6221090277598,6727842618458,7253461272034,7757280393725,8273058462036,8791464486552,9312246211304,9835182664539,10360079454817,10886764891063,11415086762975,11944909654268,12476112688663,13008587629396,13542237269232,14076974060457,14612718944122,15149400345538,15686953309112,16225318750488,16764442807838,17304276277305,17844774120137
appliances and electrical equipment 27,4023086962.9999995,4755410296.0,4583614458.0,7630264862.999999,9898433696.0,12392500662.0,15015307284.999998,18045059059.0,21370156003.0,24851612724.0,28797042481.0,33409634945,38388044839.0,43745816435.0,49496591010.0,55654049401.0,62467936900.0,69987213023.0,77960463255.0,86401076662.0,95603363687.0,105450786891.0,115795405625.0,126939477317.0,138610280560.0,151115768008.0,164235320196.0,178197357663,192714528061,208412506045,224694917365,240302031221,256279604698,272338585986,288471160796,304670483953,320930533672,337245991373,353612141946,370024790517,386480192626,402974995358,419506187465,436071056926,452667154686,469292263530,485944371289,502621647671,519322424166,536045176555,552788509644
other machinery 28,27493907966.0,32062037490.999996,30407181232.0,50209251735.0,64608901286.0,80236551598.0,96436322156.0,114964435960.0,135057082992.0,155802489282.0,179095022299.0,206124131994,234952596336.0,265615605875.0,298147254015.0,332580215939.0,370345072409.0,411645638370.0,454925499945.0,500209242361.0,549133640015.0,600942124125.0,654723183278.0,712118521545.0,771517559609.0,834565751025.0,899960277585.0,968879213985,1039680799533,1115660652241,1193520656678,1267342965221,1342736603525,1418205517299,1493742480895,1569341164773,1644996000763,1720702070927,1796455015336,1872250955112,1948086427860,2023958333234,2099863886820,2175800580891,2251766150875,2327758546576,2403775907402,2479816540931,2555878904341,2631961588231,2708063302505
road vehicles 29,21136865573.0,24443608233.0,22951325014.0,37692990089.0,48240161101.0,59583020607.00001,71222806741.0,84443157115.0,98658643814.0,113188764708.0,129395128000.0,148102729362,167883733849.0,188742823188.0,210683489914.0,233707838404.0,258794454962.0,286047263821.0,314350969175.0,343701036057.0,375194232686.0,408276234419.0,442299958342.0,478347567929.0,515304104163.00006,554241748276.0,594261109092.0,636111580405,678684283466,724099765033,770174568417,813426140442,857500166148,901450238636,945288256101,989024641153,1032668562682,1076228118869,1119710489040,1163122060396,1206468534328,1249755016056,1292986090569,1336165887243,1379298135064,1422386210007,1465433175842,1508441819410,1551414681220,1594354082079,1637262146336
nonroad vehicles 30,1777088262.0,2055103635.0,1929639480.0,3169049357.0,4055805898.0,5009460186.0,5988078669.0,7099583560.0,8294754834.0,9516379071.0,10878933887.0,12451781038,14114874876.0,15868609019.0,17713277102.0,19649056052.0,21758220804.0,24049508817.0,26429151267.0,28896766873.0,31544566750.0,34325945888.999996,37186500601.0,40217214103.0,43324345883.0,46598039898.0,49962679566.0,53481270394,57060583071,60878903197,64752656001,68389044788,72094581613,75789697035,79475391397,83152540983,86821916672,90484199319,94139992529,97789833308,101434201001,105073524832,108708190285,112338544538,115964901108,119587543829,123206730290,126822694795,130435650938,134045793841,137653302111
other manufacturing 31T33,12198307857.0,14116029420.0,13264677676.0,21794342051.0,27905279661.0,34482188935.0,41236927554.0,48913282210.0,57173244403.0,65623077499.0,75052817215.0,85942535425,97465287781.0,109624663064.0,122423566726.99998,135864103678.0,150516311226.0,166442324740.0,182994644527.0,200171500386.0,218612811640.0,237997193156.99997,257948577968.00003,279099167468.0,300799790878.0,323677379118.0,347208088036.0,371830888393,396898830946,423653234564,450818379745,476341168547,502354358375,528303083404,554193531574,580031123406,605820627401,631566255207,657271740603,682940405403,708575214751,734178823737,759753616892,785301741796,810825137796,836325560648,861804603737,887263716427,912704219969,938127321352,963534125396
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water and waste 36T39,41708340665.0,48441434194.0,44930676044.0,75033100680.0,97115818382.0,121132046366.0,144908072837.0,171724448515.0,200303728211.0,229174850467.0,261001706849.00003,295966908784,332083210573.0,369225877539.0,407268286839.0,446082333697.0,487847123377.0,532168680407.00006,576791791931.0,621585906341.0,668387218420.0,717926541229.0,767281356451.0,818202955427.0,868636370228.0,920272633481.0,974594452003.0,1029942883937,1084406036058,1141260298096,1196911161296,1247341175344,1298316302977,1348438444522,1397789477611,1446441125597,1494456484355,1541891281639,1588794922104,1635211359378,1681179827670,1726735458636,1771909803950,1816731279986,1861225547819,1905415839273,1949323237733,1992966920893,2036364371306,2079531559638,2122483104636
construction 41T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
