Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
rubber and plastic products 22,23296821034891.0,20970891250104.0,24277274002733.0,28207245226515.0,30859551289739.0,32293317018279.996,33523748118869.0,34396845808743.0,34734494068164.0,35298319094377.0,35711360834540.0,36272240032934.0,37057647130617.0,37693282699429.0,38365792703664.0,39074867436036.0,39796688583153.0,40554349826672.0,41347510295544.0,42175785751150.0,43038735801120.0,43675374896128.0,44343304465056.0,44844092725061.0,45570463968365.0,46124685389983.0,46829909675556.0,47359234387739.0,47911906360889.0,48486600071287.0,49081959016620.0,49646773326644.0,50184846993537.0,50699377526860.0,51193072187498.0,51668238476581.0,52126855295270.0,52570629426830.0,53001040755634.0,53419378759143.0,53826772176577.0,54224213297780.0,54612577976985.0,54992642224344.0,55365096039004.0,55730555004368.0,56089570056788.0,56442635754805.0,56790197310755.0,57132656595574.0,57470377287599.0
glass and glass products 231,2034828265.9999998,1829318096.0,2106237147.0,2451857864.0,2685527649.0,2811429996.0,2917442464.0,2989892813.0,3013210044.0,3053447522.0,3077799291.0,3111921010.0,3162052547.0,3195976175.0,3229523856.0,3262487129.0,3292713315.0,3321972577.0,3350066706.0,3376799982.0,3401980011.0,3405110810.0,3406734336.0,3391767376.0,3390098809.0,3371872270.0,3361045789.0,3334098325.0,3305630027.0,3275592490.0,3243949189.0,3215884724.0,3190953392.0,3168780548.0,3149048989.0,3131488352.0,3115866773.0,3101984274.0,3089667461.0,3078765247.0,3069145383.0,3060691603.0,3053301287.0,3046883511.0,3041357430.0,3036650917.0,3032699421.0,3029444995.0,3026835475.0,3024823776.0,3023367285.0
cement and other nonmetallic minerals 239,27723497976359.0,26237773193895.0,30841049988363.996,35901878873617.0,39323441126632.0,41166994492741.0,42719305832473.0,43780176326271.0,44121604113762.0,44710790414047.0,45067366656174.0,45567001581218.0,46301063864809.0,46797798186528.0,47289027638436.0,47771699758052.0,48214293470391.0,48642728782726.0,49054103364235.0,49445551349865.0,49814255575852.0,49860099009273.0,49883871851164.0,49664714788828.0,49640282407963.0,49373396224616.0,49214867052320.0,48820282759276.0,48403429326243.0,47963597942270.0,47500253810596.0,47089313590599.0,46724250962092.0,46399580116946.0,46110656342303.0,45853520773242.0,45624778307453.0,45421500701781.0,45241148992204.0,45081510886376.0,44940649862554.0,44816863498404.0,44708649134376.0,44614675408450.0,44533758523405.0,44464842353413.0,44406981684374.0,44359328026794.0,44321117552016.0,44291660790057.0,44270333796083.0
iron and steel 241,42904324608.0,42756762553.0,55680401625.0,68039503591.99999,78228720911.0,85967565962.0,93644098116.0,100740589015.0,106573450749.0,113365481553.0,119950324481.0,127309394236.99998,135791230833.0,144071119279.0,152820863458.0,162055477299.0,171687857973.0,181824524528.0,192477791682.0,203658839381.0,215377553896.0,226292774548.0,237655823514.99997,248374500490.0,260593788448.00003,272078091755.0,284687004303.0,296443800047.0,308524010692.0,320918937239.0,333618616327.0,345428409618.0,356459142418.0,366803970804.0,376541767972.0,385739760538.0,394455601704.0,402739016804.0,410633120712.0,418175480996.0,425398982285.0,432332533900.0,439001652931.0,445428947617.0,451634520357.0,457636305527.0,463450354075.0,469091074446.0,474571437431.00006,479903151117.00006,485096810890.0
other metals 242,15591150320078.0,15537527236452.0,20233892959100.0,24725109598645.0,28427804381005.0,31240049943678.0,34029651407682.0,36608469682357.0,38728093401239.0,41196272872982.0,43589161628511.0,46263399338322.0,49345643158134.0,52354500343844.0,55534100022899.0,58889898158570.0,62390242154334.99,66073840333282.0,69945167783961.01,74008287224779.0,78266791261849.0,82233310896504.0,86362568404920.0,90257665355524.0,94698074500579.0,98871395041576.0,103453391208585.0,107725733715000.0,112115603076164.0,116619838133081.0,121234818265981.02,125526419733253.02,129534915725313.02,133294158549293.98,136832810207658.0,140175300412144.0,143342579958584.0,146352718707293.0,149221384320693.0,151962228606896.0,154587201624546.0,157106808831059.0,159530322970093.0,161865959727463.0,164121024183145.0,166302033571254.0,168414820702062.0,170464621509137.0,172456149493520.0,174393659297190.0,176281001213798.0
metal products except machinery and vehicles 25,3129215649291.0,2887055098322.0,3429775791321.0,4056050417780.0,4513433946343.0,4800589728442.0,5061515433595.0,5270679311419.0,5397535816253.0,5558209197010.0,5693599274098.0,5850620882376.0,6042193714424.0,6207367084032.0,6375991014906.0,6547735180909.0,6718277893680.0,6891144348729.0,7065947835240.0,7242279817026.0,7419710738138.0,7552747098871.0,7685367606470.999,7782880055165.0,7913175271979.0,8007021576369.0,8120338894111.0,8196292729955.001,8269385813278.0,8339319304427.001,8405807846044.999,8469862282714.999,8531785754940.999,8591833072569.999,8650219977486.0,8707130354676.001,8762721902966.0,8817130636080.0,8870474486147.0,8922856211751.0,8974365762230.0,9025082213257.0,9075075361741.0,9124407048008.0,9173132258154.0,9221300048082.0,9268954321963.0,9316134491215.0,9362876034852.0,9409210978008.0,9455168302245.0
computers and electronics 26,7939545.068,7304838.418,8646786.278,10211666.13,11347097.99,12051366.99,12687182.82,13190837.73,13486523.87,13864842.48,14178119.59,14543226.4,14991847.08,15372462.92,15759131.47,16150889.62,16536950.34,16925885.78,17316602.1,17707955.44,18098755.02,18378161.09,18653611.72,18841027.52,19104898.82,19277795.14,19494609.29,19618796.85,19733406.95,19837710.79,19931023.04,20023636.8,20115639.04,20207102.9,20298090.28,20388653.95,20478839.17,20568684.96,20658225.17,20747489.28,20836503.11,20925289.35,21013868.03,21102256.89,21190471.72,21278526.59,21366434.1,21454205.55,21541851.14,21629380.05,21716800.59
appliances and electrical equipment 27,2056219264487.0,1891840067602.0,2239383789448.0,2644663446430.0,2938722721544.0,3121117490176.0,3285783946985.0,3416222771785.0,3492800904721.0,3590779567593.0,3671913488808.0,3766470501473.0,3882656311047.0,3981229923051.0,4081371090097.0,4182830386460.0,4282814137655.0,4383542395738.0005,4484731874457.0,4586086329837.0,4687297371009.0,4759659218035.0,4830996668039.0,4879534458463.0,4947873041767.0,4992650510576.0,5048802020555.0,5080964675732.0,5110646916566.0,5137659995666.0,5161826425105.0,5185811954051.0,5209639111633.0,5233326835091.0,5256891158167.0,5280345747029.0,5303702321712.0,5326970990633.0,5350160518403.0,5373278541947.0,5396331746218.0,5419326008051.0,5442266514689.0,5465157862049.0,5488004136648.0,5510808984277.0,5533575667855.0,5556307116403.0,5579005966689.0,5601674598792.0,5624315166597.0
other machinery 28,90451075587.0,79328548216.0,87819175271.0,102102007362.0,109783179645.0,116229603583.0,120875692481.0,123988312669.99998,124916746207.0,126403283459.0,127094003951.99998,127471277448.0,128364691717.0,128466222433.99998,128430926108.0,128257061411.0,127990031489.99998,127584304371.99998,127039179896.0,126354387876.99998,125530127468.0,124158409822.99998,122677600672.00002,120558790496.99998,118878767225.00002,116590838805.0,114908503461.0,112652594689.0,110334197229.0,107957761947.0,105528006463.0,103325090457.0,101320763613.0,99491279652.0,97816533125.0,96279387393.0,94865146165.0,93561134027.0,92356360633.0,91241249687.0,90207418617.0,89247498193.0,88354983888.0,87524112671.0,86749760268.0,86027355055.0,85352805507.0,84722438790.0,84132948538.0,83581350259.0,83064943100.0
road vehicles 29,19894551248260.0,17907926316285.0,20649606079536.0,24058854638315.0,26374512489397.0,27634858280763.0,28701686881201.0,29439870573998.0,29695103161147.0,30117647583533.0,30384076219347.0,30747475285239.0,31269802191387.004,31632589027675.0,31992255363104.0,32346725460044.996,32674623361731.0,32993460463656.0,33301242262621.004,33595992179091.004,33875759970140.0,33936237747575.0,33981759884643.0,33861704272565.004,33874294983431.004,33721289852410.004,33642065140052.0,33401177424429.0,33144599278582.0,32871804802084.996,32582385709766.996,32326672717589.004,32100468108344.0,31900243420277.004,31723011182571.996,31566225060554.996,31427701330629.0,31305556552153.0,31198157668112.0,31104081736115.0,31022083188920.004,30951067031595.0,30890066756265.004,30838226033317.0,30794783446540.0,30759059697735.0,30730446826921.996,30708399087209.996,30692425185402.996,30682081655671.004,30676967177836.004
nonroad vehicles 30,18938076302917.0,17046962797638.0,19656830188296.0,22902171514979.0,25106498947550.0,26306250802573.0,27321789237449.0,28024483101980.0,28267444812959.0,28669674469343.0,28923293953963.0,29269221798849.0,29766436673427.0,30111781723013.0,30454156296781.0,30791584452823.0,31103717931191.996,31407226227966.004,31700210730139.996,31980789886650.004,32247107216851.0,32304677390182.0,32348010948929.0,32233727278302.0,32245712662648.004,32100063594726.004,32024647787203.004,31795341286042.0,31551098707103.0,31291419433796.004,31015914810171.0,30772495790708.0,30557166472820.996,30366568033427.004,30197856631039.0,30048608351701.0,29916744459203.0,29800472063514.0,29698236620481.0,29608683598843.0,29530627314781.0,29463025417689.0,29404957866717.0,29355609502205.0,29314255514728.0,29280249264864.0,29253012021664.0,29232024276237.0,29216818355405.0,29206972113946.0,29202103526046.0
other manufacturing 31T33,72479410194.0,65397104210.00001,75621792428.0,88247753693.0,96896182597.0,101688767597.0,105783194996.0,108677257326.0,109794636982.0,111534917772.0,112701411843.0,114231609610.0,116357795549.0,117895873710.0,119426922039.99998,120943134424.0,122364376888.99998,123755866837.0,125109958045.00002,126419023334.0,127675486621.00002,128107832729.0,128484687529.99998,128235371374.0,128488068897.0,128112123715.0,128015399318.0,127301892418.0,126525881466.00002,125685062002.0,124777566200.0,123983313538.99998,123288200853.0,122680373489.99998,122149794379.0,121687908540.0,121287379270.0,120941878729.99998,120645920303.0,120394723296.0,120184102949.0,120010380383.99998,119870308402.00002,119761009974.00002,119679926951.99998,119624777083.00002,119593517790.0,119584315515.00002,119595519650.00002,119625640271.0,119673329056.00002
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water and waste 36T39,34424446739307.004,31120564917010.0,35448466827831.0,41996949547192.0,46560341877015.0,49265656503276.0,51207245305080.0,52499366098041.0,52867554888753.0,53473077381363.0,53743006074566.0,53881546272280.0,54239281566948.0,54263389556651.0,54230729023022.0,54140537490169.0,54011951238447.0,53825723582610.0,53581540717283.0,53279272235609.0,52918987254550.0,52328718264005.0,51693282324850.0,50789832567017.0,50072026473999.0,49098920604434.0,48381548910073.0,47423337034920.0,46439485735308.0,45431842190486.0,44402366626846.0,43468898494933.0,42619481144571.0,41844064212484.0,41134138277558.0,40482450437449.0,39882780640205.0,39329764150718.0,38818749418996.0,38345683379157.0,37907018195304.0,37499634917138.0,37120780572992.0,36768016019600.0,36439172462166.0,36132315008331.0,35845711963356.0,35577808838377.0,35327206248778.0,35092641039959.0,34872970103719.996
construction 41T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
