Pollutant:,SOx,Unit: grams of SOx,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
chemicals 20,0,0,0,0,0,121426104656.3195,124287601049.39851,121741803465.05832,121271683506.388,124048748533.02516,127551462658.38197,128991894444.31305,130233658086.24464,131665318538.75424,133425791635.37515,135447874915.17113,137482745042.49994,140095592199.97144,142162864065.8739,144556378513.2403,147006640090.5692,149372671234.93973,151584876597.36758,153656896893.1585,155483329778.74112,157136822750.09344,159456848287.27783,161913571330.86646,164314998852.62686,164828848964.01065,165520289474.8055,168441013011.34036,169964984644.3451,169526013348.83875,170557339808.1085,173754476783.4229
rubber and plastic products 22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,0,0,0,0,0,25503643257.824947,24530511489.171135,26430633195.238743,26736452214.74458,27474013641.385944,28118127458.485435,28304474973.33004,28393480133.559536,28514677864.102127,28723729933.053417,29126695363.13785,29567183885.80383,29916690299.8599,30251675905.29338,30602564367.620945,31018414687.313244,31322051727.272,31579446193.730164,31822620623.777813,32058234644.652588,32430686286.166885,32849785485.513023,33175341416.509113,33325310497.433372,33538882706.9686,33764586915.81907,33985472906.158558,34226927497.042538,34250935510.87469,34264192750.65546,34373468777.626625
iron and steel 241,0,0,0,0,0,20369338193.21931,20879142334.00013,23675963748.391376,23111480560.386536,24623847084.48575,26511743070.49744,26387600467.035763,26069787090.657307,25714433893.321915,25441025347.061356,25248953004.266468,24958640196.70646,24771476675.07481,24472228916.559875,24265980770.294216,24172001860.941334,24091558775.507557,23961635924.267067,23797043283.30373,23483305692.74469,23184659105.24956,23171282514.747547,23306891798.286583,23481194219.392906,23336867471.709637,23178815409.67422,23338016831.30764,23339464392.609932,22848928438.700687,22496623048.479034,22626963525.607258
other metals 242,0,0,0,0,0,45316550714.3089,55524951263.3989,62629244548.76675,62549172575.592674,63280053221.22549,64537312844.547676,65435891055.735115,66188919527.111404,66848362744.92186,67459071025.67424,68024102963.62522,68489288257.39301,68743082173.03247,69005204291.99684,69278306090.84755,69464091262.33977,69259645183.6615,69064373799.09233,69311476777.3567,69222862309.96101,68819527613.50624,69159043837.86478,69830541245.63815,70354068874.10902,70509170213.88443,71128300766.14915,71896997070.26222,72650584364.1355,72985090432.41219,73180706783.96077,74131252406.81325
metal products except machinery and vehicles 25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other manufacturing 31T33,0,0,0,0,0,127468826026.5959,143616905355.3476,152745449254.35413,156657682349.07248,159611757774.00073,164077342703.50793,164652029384.87665,165181321333.129,166486487419.51245,167594578570.6408,169079342322.26987,169036054093.51367,170538189181.62482,173414053628.37183,176334466150.887,179663469016.67493,183299073955.09207,187657143306.79605,192632152112.51773,198346602674.20273,204000302192.47556,209646240424.3313,215788880834.70566,222293865754.44794,228791855668.8802,235933244656.24753,243620035847.6107,251318188315.24518,259758430286.23514,268668270162.28867,277592485188.5981
energy pipelines and gas processing 352T353,0,0,0,0,0,1038052375.4330968,1028899376.5549306,1031795961.490867,1039345024.4777986,1047305068.1467538,1048619472.5997213,1045735207.0802826,1036668782.214207,1045415380.8789951,1041449739.6716195,1034106590.4942639,1029985303.1109684,1029934310.7266189,1036513171.157009,1027896757.5946885,1019490424.227394,1017012025.7781514,1022149684.0949551,1028825928.7414612,1036011008.5510786,1043163989.8487844,1046768926.6624602,1052472031.5222448,1061622881.7960169,1067133536.0592216,1072891812.4312739,1081568384.3643868,1089678631.7864683,1096470768.2155867,1102329589.4887354,1113866089.6669383
water and waste 36T39,0,0,0,0,0,25251843276.548584,25638867618.30739,26025891960.066246,26412916301.825115,26799940643.58393,27186964985.342777,27567078224.34235,27947191463.34188,28327304702.341404,28707417941.34099,29087531180.34052,29465732758.21957,29843934336.09859,30222135913.97763,30600337491.856655,30978539069.735725,31347860857.606014,31717182645.47634,32086504433.34663,32455826221.216965,32825148009.08729,33188187818.966976,33551227628.8467,33914267438.726406,34277307248.60611,34640347058.485825,35006016555.307945,35371686052.13008,35737355548.95222,36103025045.77435,36468694542.596466
construction 41T43,0,0,0,0,0,2278318469.428174,2207728875.064343,2207464574.4979053,2269759806.1613226,2341889288.651823,2403854054.7779245,2425109538.5007973,2445885766.3576136,2466175068.512893,2485964608.8773494,2505243159.012795,2524006281.1323266,2542249244.3876424,2559958877.762138,2577119791.3457594,2593718521.0605035,2609746836.067642,2625198565.3314238,2640065369.1617427,2654339326.5276346,2668013060.6550198,2681084645.7118454,2693549593.6721125,2705396692.8439994,2716612772.2109046,2727190404.759651,2737129180.204281,2746437429.8617144,2755127813.9844046,2763218050.2272334,2770725320.3613825
